Script,FindingID,Name,Status,Severity,Detail,Remediation,Timestamp
L02_sudo_users_review,L02-C1,Root Direct Login,WARN,High,Root account status: unknown – verify direct root login is disabled,Lock root: passwd -l root and ensure PermitRootLogin no in sshd_config,2026-03-15T10:23:35Z
L02_sudo_users_review,L02-C2,UID 0 Accounts,PASS,Critical,Only root has UID 0,,2026-03-15T10:23:35Z
L02_sudo_users_review,L02-C3-sudo,Group sudo Members,PASS,Med,Members (1): jomar,,2026-03-15T10:23:35Z
L02_sudo_users_review,L02-C3-admin,Group admin Members,PASS,Med,Members (0): none,,2026-03-15T10:23:35Z
L02_sudo_users_review,L02-C4,NOPASSWD Sudo Entries,PASS,High,No NOPASSWD entries in sudoers,,2026-03-15T10:23:35Z
L02_sudo_users_review,L02-C5,Unrestricted Sudo (ALL:ALL),PASS,High,No unrestricted ALL=(ALL) ALL entries,,2026-03-15T10:23:35Z
L02_sudo_users_review,L02-C6,System Accounts With Login Shell,PASS,Med,No system accounts with login shell detected,,2026-03-15T10:23:35Z
L02_sudo_users_review,L02-C7,Inactive Accounts (> 90 days),PASS,Med,No accounts with login > 90 days ago,,2026-03-15T10:23:35Z
L03_patch_level,L03-C0,Package Manager Detected,INFO,Info,PKG_MGR=apt,,2026-03-15T10:23:35Z
L03_patch_level,L03-C1,Pending Updates,PASS,Critical,No pending updates detected,,2026-03-15T10:23:35Z
L03_patch_level,L03-C2,Kernel Version,INFO,Info,Running kernel: 6.6.87.2-microsoft-standard-WSL2,,2026-03-15T10:23:35Z
L03_patch_level,L03-C3,Last APT Update,PASS,Med,Last apt update: 0 day(s) ago,,2026-03-15T10:23:35Z
L03_patch_level,L03-C4,Automatic Security Updates,WARN,High,unattended-upgrades installed but security origin not confirmed,Review /etc/apt/apt.conf.d/50unattended-upgrades,2026-03-15T10:23:35Z
L03_patch_level,L03-C5,Reboot Required,WARN,Med,/var/run/reboot-required exists – kernel or core library update pending,Schedule a reboot to apply updates,2026-03-15T10:23:35Z
L04_services_audit,L04-C1,Running Services Count,INFO,Info,25 systemd services currently running,,2026-03-15T10:23:36Z
L04_services_audit,L04-C2-avahi-daemon,Insecure Service Active: avahi-daemon,WARN,High,Service 'avahi-daemon' is running: Avahi/mDNS – multicast discovery (not for servers),Stop and disable: systemctl stop avahi-daemon && systemctl disable avahi-daemon,2026-03-15T10:23:36Z
L04_services_audit,L04-C4,Failed Services,WARN,Med,Failed services: ●,Investigate: systemctl status <service>; check logs: journalctl -u <service>,2026-03-15T10:23:36Z
L05_network_listeners,L05-C1,Listening Ports Count,INFO,Info,~19 listening ports/sockets detected (via ss),,2026-03-15T10:23:37Z
L05_network_listeners,L05-C2-5432,Risky Port Open: 5432/tcp,WARN,Med,Port 5432 (PostgreSQL (check if internet-exposed)) is listening – process: 0.0.0.0:*,Disable or firewall this service if not required,2026-03-15T10:23:37Z
L05_network_listeners,L05-C2-6379,Risky Port Open: 6379/tcp,WARN,High,Port 6379 (Redis often unauthenticated) is listening – process: 0.0.0.0:*,Disable or firewall this service if not required,2026-03-15T10:23:37Z
L05_network_listeners,L05-C3,Ports Bound to All Interfaces,PASS,Med,No ports bound to 0.0.0.0 or ::,,2026-03-15T10:23:37Z
L05_network_listeners,L05-C4,SSH on Default Port 22,WARN,Low,SSH is listening on the default port 22,Consider changing to a non-standard port and restricting with firewall rules,2026-03-15T10:23:37Z
L06_firewall_state,L06-C6,No Firewall Detected,FAIL,Critical,"No ufw, firewalld, iptables, or nftables rules detected",Install and configure a firewall: ufw (Debian/Ubuntu) or firewalld (RHEL),2026-03-15T10:23:37Z
L06_firewall_state,L06-C7,IPv6 Firewall,WARN,Med,ip6tables INPUT default policy: unknown (not DROP/REJECT),Set IPv6 firewall rules or disable IPv6 if not required,2026-03-15T10:23:37Z
L07_ssh_posture,L07-C0,sshd_config Found,WARN,High,/etc/ssh/sshd_config not found – SSH may not be installed,Install OpenSSH server if required,2026-03-15T10:23:37Z
L08_auditd_logging,L08-C1,auditd Installed,FAIL,High,auditd not found,Install: apt-get install auditd (Debian) or yum install audit (RHEL),2026-03-15T10:23:37Z
L08_auditd_logging,L08-C2-privileged,Audit Rule: Privileged command execution monitoring,WARN,High,Privileged command execution monitoring – no matching rule detected,Add audit rule for: Privileged command execution monitoring. See /etc/audit/rules.d/ documentation.,2026-03-15T10:23:37Z
L08_auditd_logging,L08-C2-time-change-adj,Audit Rule: System time change monitoring,WARN,High,System time change monitoring – no matching rule detected,Add audit rule for: System time change monitoring. See /etc/audit/rules.d/ documentation.,2026-03-15T10:23:37Z
L08_auditd_logging,L08-C2-modules-insmod-,Audit Rule: Kernel module loading monitoring,WARN,High,Kernel module loading monitoring – no matching rule detected,Add audit rule for: Kernel module loading monitoring. See /etc/audit/rules.d/ documentation.,2026-03-15T10:23:37Z
L08_auditd_logging,L08-C2-cron,Audit Rule: Cron modification monitoring,WARN,High,Cron modification monitoring – no matching rule detected,Add audit rule for: Cron modification monitoring. See /etc/audit/rules.d/ documentation.,2026-03-15T10:23:37Z
L08_auditd_logging,L08-C2-ssh,Audit Rule: SSH key/config monitoring,WARN,High,SSH key/config monitoring – no matching rule detected,Add audit rule for: SSH key/config monitoring. See /etc/audit/rules.d/ documentation.,2026-03-15T10:23:37Z
L08_auditd_logging,L08-C2--e-2-immutable,Audit Rule: Audit config immutability,WARN,High,Audit config immutability – no matching rule detected,Add audit rule for: Audit config immutability. See /etc/audit/rules.d/ documentation.,2026-03-15T10:23:37Z
L08_auditd_logging,L08-C2-identity--w--et,Audit Rule: User/group identity monitoring,WARN,High,User/group identity monitoring – no matching rule detected,Add audit rule for: User/group identity monitoring. See /etc/audit/rules.d/ documentation.,2026-03-15T10:23:37Z
L08_auditd_logging,L08-C2-sudoers-sudo,Audit Rule: sudo/sudoers changes monitoring,WARN,High,sudo/sudoers changes monitoring – no matching rule detected,Add audit rule for: sudo/sudoers changes monitoring. See /etc/audit/rules.d/ documentation.,2026-03-15T10:23:37Z
L08_auditd_logging,L08-C2-passwd-shadow,Audit Rule: Password file modification monitoring,WARN,High,Password file modification monitoring – no matching rule detected,Add audit rule for: Password file modification monitoring. See /etc/audit/rules.d/ documentation.,2026-03-15T10:23:37Z
